列1,列2,列3,列4,列5,列6,列7
中央線(快速),通勤快速,1939,高尾,0,0,0
山手線,各駅停車,1939,渋谷・品川方面,14,0,0
山手線,各駅停車,1939,池袋・上野方面,15,0,0
中央線(快速),快速,1940,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,1942,高尾,0,0,0
山手線,各駅停車,1942,渋谷・品川方面,14,0,0
山手線,各駅停車,1942,池袋・上野方面,15,0,0
中央線(快速),快速,1945,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,1945,立川,0,0,0
山手線,各駅停車,1945,渋谷・品川方面,14,0,0
山手線,各駅停車,1945,池袋・上野方面,15,0,0
中央線(快速),快速,1948,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),通勤快速,1948,大月,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,1948,新木場,1,0,0
山手線,各駅停車,1949,渋谷・品川方面,14,0,0
山手線,各駅停車,1949,池袋・上野方面,15,0,0
中央線(快速),中央特快,1951,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,1952,高尾,0,0,0
山手線,各駅停車,1952,渋谷・品川方面,14,0,0
山手線,各駅停車,1952,池袋・上野方面,15,0,0
中央線(快速),快速,1953,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,1955,渋谷・品川方面,14,0,0
山手線,各駅停車,1955,池袋・上野方面,15,0,0
中央線(快速),快速,1956,青梅,0,0,0
中央線(快速),快速,1957,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,1958,渋谷・品川方面,14,0,0
山手線,各駅停車,1958,池袋・上野方面,15,0,0
中央線(快速),快速,2000,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央本線(特急),特急,2000,松本,0,始発,0
中央線(快速),快速,2001,大月,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,通勤快速,2001,新木場,1,0,0
山手線,各駅停車,2002,渋谷・品川方面,14,0,0
山手線,各駅停車,2002,池袋・上野方面,15,0,0
中央線(快速),快速,2003,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,2005,豊田,0,0,0
山手線,各駅停車,2005,渋谷・品川方面,14,0,0
山手線,各駅停車,2005,池袋・上野方面,15,0,0
中央線(快速),快速,2006,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),通勤快速,2008,高尾,0,0,0
山手線,各駅停車,2008,渋谷・品川方面,14,0,0
山手線,各駅停車,2008,池袋・上野方面,15,0,0
中央本線(特急),特急,2009,千葉,7,0,錦糸町/船橋/千葉
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,2010,新木場,1,0,0
中央線(快速),快速,2011,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,2011,高尾,0,0,0
山手線,各駅停車,2011,渋谷・品川方面,14,0,0
山手線,各駅停車,2011,池袋・上野方面,15,0,0
中央線(快速),快速,2015,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央本線(特急),ライナー,2015,青梅,0,0,0
山手線,各駅停車,2015,渋谷・品川方面,14,0,0
山手線,各駅停車,2015,池袋・上野方面,15,0,0
中央線(快速),快速,2017,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,2017,青梅,0,0,0
山手線,各駅停車,2018,渋谷・品川方面,14,0,0
山手線,各駅停車,2018,池袋・上野方面,15,0,0
中央線(快速),中央特快,2019,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,2020,高尾,0,0,0
山手線,各駅停車,2021,渋谷・品川方面,14,0,0
山手線,各駅停車,2021,池袋・上野方面,15,0,0
中央線(快速),通勤快速,2023,高尾,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,通勤快速,2023,新木場,1,0,0
山手線,各駅停車,2024,渋谷・品川方面,14,0,0
山手線,各駅停車,2024,池袋・上野方面,15,0,0
中央線(快速),快速,2025,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,2025,高尾,0,0,0
山手線,各駅停車,2028,渋谷・品川方面,14,0,0
山手線,各駅停車,2028,池袋・上野方面,15,0,0
中央線(快速),快速,2029,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,2029,豊田,0,0,0
山手線,各駅停車,2031,渋谷・品川方面,14,0,0
山手線,各駅停車,2031,池袋・上野方面,15,0,0
中央線(快速),快速,2032,豊田,0,0,0
中央線(快速),快速,2033,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2034,渋谷・品川方面,14,0,0
山手線,各駅停車,2034,池袋・上野方面,15,0,0
中央線(快速),快速,2035,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),通勤快速,2035,青梅,0,0,0
中央線(快速),快速,2038,高尾,0,0,0
山手線,各駅停車,2038,渋谷・品川方面,14,0,0
山手線,各駅停車,2038,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,2040,新木場,1,0,0
中央線(快速),快速,2041,武蔵小金井,0,0,0
山手線,各駅停車,2041,渋谷・品川方面,14,0,0
山手線,各駅停車,2041,池袋・上野方面,15,0,0
中央線(快速),快速,2042,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,2044,高尾,0,0,0
山手線,各駅停車,2044,渋谷・品川方面,14,0,0
山手線,各駅停車,2044,池袋・上野方面,15,0,0
中央線(快速),快速,2046,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,2047,八王子,0,0,0
山手線,各駅停車,2047,大崎,14,0,0
山手線,各駅停車,2047,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,2049,新木場,1,0,0
中央線(快速),通勤快速,2050,高尾,0,0,0
山手線,各駅停車,2050,渋谷・品川方面,14,0,0
山手線,各駅停車,2050,池袋・上野方面,15,0,0
中央線(快速),中央特快,2051,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,2054,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2054,渋谷・品川方面,14,0,0
山手線,各駅停車,2054,池袋・上野方面,15,0,0
中央線(快速),快速,2055,青梅,0,0,0
山手線,各駅停車,2057,渋谷・品川方面,14,0,0
山手線,各駅停車,2057,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,通勤快速,2057,新木場,1,0,0
中央線(快速),快速,2058,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央本線(特急),特急,2100,松本,0,始発,0
山手線,各駅停車,2100,渋谷・品川方面,14,0,0
山手線,各駅停車,2100,池袋・上野方面,15,0,0
中央線(快速),快速,2101,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,2101,八王子,0,0,0
山手線,各駅停車,2104,渋谷・品川方面,14,0,0
山手線,各駅停車,2104,池袋・上野方面,15,0,0
中央線(快速),快速,2105,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),通勤快速,2105,高尾,0,0,0
中央本線(特急),特急,2107,千葉,7,始発,秋葉原/船橋/津田沼/稲毛/千葉
中央線(快速),快速,2107,高尾,0,0,0
山手線,各駅停車,2107,大崎,14,0,0
山手線,各駅停車,2107,池袋・上野方面,15,0,0
山手線,各駅停車,2110,渋谷・品川方面,14,0,0
山手線,各駅停車,2110,池袋・上野方面,15,0,0
中央線(快速),快速,2111,豊田,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,2111,新木場,1,0,0
中央線(快速),快速,2112,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2113,渋谷・品川方面,14,0,0
山手線,各駅停車,2113,池袋・上野方面,15,0,0
中央本線(特急),ライナー,2115,高尾,0,0,0
中央線(快速),快速,2116,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2116,渋谷・品川方面,14,0,0
山手線,各駅停車,2116,池袋・上野方面,15,0,0
中央線(快速),快速,2117,豊田,0,0,0
中央線(快速),快速,2118,東京,8,0,四ツ谷/御茶ノ水/神田/東京
成田エクスプレス,特急,2119,高尾,0,0,0
山手線,各駅停車,2120,渋谷・品川方面,14,0,0
山手線,各駅停車,2120,池袋・上野方面,15,0,0
中央線(快速),快速,2122,青梅,0,0,0
中央線(快速),快速,2123,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2123,渋谷・品川方面,14,0,0
山手線,各駅停車,2123,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,2124,新木場,1,0,0
中央線(快速),快速,2125,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),通勤快速,2125,高尾,0,0,0
山手線,各駅停車,2126,渋谷・品川方面,14,0,0
山手線,各駅停車,2126,池袋・上野方面,15,0,0
中央線(快速),快速,2128,高尾,0,0,0
中央線(快速),中央特快,2129,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2130,渋谷・品川方面,14,0,0
山手線,各駅停車,2130,池袋・上野方面,15,0,0
山手線,各駅停車,2132,大崎,14,0,0
山手線,各駅停車,2132,池袋・上野方面,15,0,0
中央線(快速),快速,2133,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,2133,立川,0,0,0
中央線(快速),快速,2136,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),通勤快速,2136,高尾,0,0,0
山手線,各駅停車,2136,渋谷・品川方面,14,0,0
山手線,各駅停車,2136,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,通勤快速,2137,新木場,1,0,0
山手線,各駅停車,2139,渋谷・品川方面,14,0,0
山手線,各駅停車,2139,池袋・上野方面,15,0,0
中央線(快速),快速,2142,青梅,0,0,0
山手線,各駅停車,2143,渋谷・品川方面,14,0,0
山手線,各駅停車,2143,池袋・上野方面,15,0,0
中央線(快速),快速,2144,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央本線(特急),ライナー,2145,青梅,0,0,0
中央線(快速),快速,2146,豊田,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,2146,新木場,1,0,0
中央線(快速),快速,2147,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2147,渋谷・品川方面,14,0,0
山手線,各駅停車,2147,池袋・上野方面,15,0,0
中央線(快速),快速,2149,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),通勤快速,2149,高尾,0,0,0
中央線(快速),中央特快,2151,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2151,渋谷・品川方面,14,0,0
山手線,各駅停車,2151,池袋・上野方面,15,0,0
中央線(快速),快速,2152,高尾,0,0,0
中央線(快速),快速,2155,東京,8,0,四ツ谷/御茶ノ水/神田/東京
