山手線,各駅停車,,,702,池袋・上野方面,15,,
埼京線・川越線,通勤快速,,,704,川越,1,1,
中央線快速,快速,,,704,高尾,12,,
中央・総武線各駅停車,各駅停車,,,704,西船橋,13,,
山手線,各駅停車,,,704,渋谷・品川方面,14,,
山手線,各駅停車,,,705,池袋・上野方面,15,,
成田エクスプレス,特急,成田エクスプレス,7,706,成田空港,5,,
中央・総武線各駅停車,各駅停車,,,706,中野,16,,
中央線快速,快速,,,707,東京,8,,
中央・総武線各駅停車,各駅停車,,,707,千葉,13,,
埼京線・川越線,各駅停車,,,708,武蔵浦和,2,1,
山手線,各駅停車,,,708,池袋・上野方面,15,,
山手線,各駅停車,,,709,渋谷・品川方面,14,,
埼京線・川越線,各駅停車,,,710,新木場,1,,
中央線快速,快速,,,710,高尾,12,,
中央・総武線各駅停車,各駅停車,,,710,西船橋,13,,
中央線快速,快速,,,711,東京,7,,
山手線,各駅停車,,,711,池袋・上野方面,15,,
山手線,各駅停車,,,712,渋谷・品川方面,14,,
中央線快速,快速,,,713,東京,8,,
中央・総武線各駅停車,各駅停車,,,713,千葉,13,,
中央・総武線各駅停車,各駅停車,,,713,三鷹,16,,
中央本線,特急,あずさ,51,714,松本,9,1,1
山手線,各駅停車,,,714,渋谷・品川方面,14,,
山手線,各駅停車,,,714,池袋・上野方面,15,,
埼京線・川越線,各駅停車,,,715,大宮,3,1,
中央線快速,快速,,,715,東京,7,,
湘南新宿ライン,普通,,,716,大船,1,,
中央線快速,快速,,,716,高尾,12,,
山手線,各駅停車,,,716,池袋・上野方面,15,,
中央線快速,快速,,,717,東京,8,,
中央・総武線各駅停車,各駅停車,,,717,西船橋,13,,
山手線,各駅停車,,,717,渋谷・品川方面,14,,
中央・総武線各駅停車,各駅停車,,,718,中野,16,,
埼京線・川越線,通勤快速,,,719,川越,4,,
中央線快速,快速,,,719,立川,12,,
山手線,各駅停車,,,719,池袋・上野方面,15,,
山手線,各駅停車,,,720,渋谷・品川方面,14,,
山手線,各駅停車,,,721,池袋・上野方面,15,,
湘南新宿ライン,普通,,,722,宇都宮,4,,
中央線快速,快速,,,722,東京,8,,
中央・総武線各駅停車,各駅停車,,,722,千葉,13,,
中央・総武線各駅停車,各駅停車,,,722,三鷹,16,,
山手線,各駅停車,,,723,渋谷・品川方面,14,,
埼京線・川越線,各駅停車,,,724,新木場,1,,
埼京線・川越線,各駅停車,,,724,武蔵浦和,2,1,
山手線,各駅停車,,,724,池袋・上野方面,15,,
中央線快速,快速,,,725,高尾,12,,
山手線,各駅停車,,,725,渋谷・品川方面,14,,
中央線快速,快速,,,726,東京,8,,
中央・総武線各駅停車,各駅停車,,,726,西船橋,13,,
埼京線・川越線,各駅停車,,,727,大宮,3,1,
山手線,各駅停車,,,727,池袋・上野方面,15,,
中央・総武線各駅停車,各駅停車,,,727,三鷹,16,,
山手線,各駅停車,,,728,渋谷・品川方面,14,,
湘南新宿ライン,特急,日光,1,730,東武日光,6,1,
中央本線,特急,あずさ,3,730,南小谷,10,,
中央・総武線各駅停車,各駅停車,,,730,千葉,13,,
山手線,各駅停車,,,730,池袋・上野方面,15,,
中央・総武線各駅停車,各駅停車,,,730,三鷹,16,,
中央線快速,快速,,,731,東京,8,,
中央線快速,快速,,,731,高尾,12,,
山手線,各駅停車,,,731,渋谷・品川方面,14,,
山手線,各駅停車,,,732,池袋・上野方面,15,,
埼京線・川越線,通勤快速,,,733,新木場,1,,
埼京線・川越線,通勤快速,,,733,川越,2,1,
中央・総武線各駅停車,各駅停車,,,733,西船橋,13,,
中央線快速,快速,,,734,東京,8,,
中央線快速,快速,,,734,武蔵小金井,12,,
山手線,各駅停車,,,734,渋谷・品川方面,14,,
山手線,各駅停車,,,735,池袋・上野方面,15,,
中央・総武線各駅停車,各駅停車,,,735,三鷹,16,,
湘南新宿ライン,快速,,,736,平塚,1,,
山手線,各駅停車,,,736,渋谷・品川方面,14,,
埼京線・川越線,各駅停車,,,737,武蔵浦和,4,,
中央線快速,快速,,,737,東京,8,,
中央線快速,快速,,,737,高尾,12,,
中央・総武線各駅停車,各駅停車,,,737,西船橋,13,,
山手線,各駅停車,,,738,池袋・上野方面,15,,
中央線快速,通勤特快,,,739,東京,8,,
山手線,各駅停車,,,739,渋谷・品川方面,14,,
中央・総武線各駅停車,各駅停車,,,739,三鷹,16,,
湘南新宿ライン,快速,,,740,籠原,4,,
山手線,各駅停車,,,740,池袋・上野方面,15,,
中央線快速,快速,,,741,東京,7,,
中央線快速,快速,,,741,高尾,12,,
中央・総武線各駅停車,各駅停車,,,741,千葉,13,,
埼京線・川越線,各駅停車,,,742,大宮,3,1,
山手線,各駅停車,,,742,渋谷・品川方面,14,,
中央線快速,快速,,,743,武蔵小金井,12,,
山手線,各駅停車,,,743,池袋・上野方面,15,,
埼京線・川越線,通勤快速,,,744,新木場,1,,
中央線快速,快速,,,744,東京,8,,
中央・総武線各駅停車,各駅停車,,,744,三鷹,16,,
埼京線・川越線,各駅停車,,,745,武蔵浦和,2,1,
中央線快速,快速,,,745,青梅,12,,
中央・総武線各駅停車,各駅停車,,,745,西船橋,13,,
山手線,各駅停車,,,745,渋谷・品川方面,14,,
山手線,各駅停車,,,746,池袋・上野方面,15,,
湘南新宿ライン,普通,,,747,大船,1,,
中央線快速,快速,,,747,東京,7,,
山手線,各駅停車,,,747,渋谷・品川方面,14,,
中央・総武線各駅停車,各駅停車,,,747,三鷹,16,,
山手線,各駅停車,,,748,池袋・上野方面,15,,
中央線快速,快速,,,749,東京,8,,
中央線快速,快速,,,749,高尾,12,,
中央・総武線各駅停車,各駅停車,,,749,中野,16,,
埼京線・川越線,各駅停車,,,750,新木場,2,,
中央・総武線各駅停車,各駅停車,,,750,千葉,13,,
山手線,各駅停車,,,750,渋谷・品川方面,14,,
埼京線・川越線,通勤快速,,,751,川越,4,,
中央線快速,快速,,,751,東京,7,,
山手線,各駅停車,,,751,池袋・上野方面,15,,
中央・総武線各駅停車,各駅停車,,,752,三鷹,16,,
中央線快速,通勤特快,,,753,東京,8,,
山手線,各駅停車,,,753,渋谷・品川方面,14,,
中央線快速,快速,,,754,高尾,12,,
中央・総武線各駅停車,各駅停車,,,754,西船橋,13,,
